Date/Time,Air Temp (℉),Dewpoint (℉),Precip (inches),RH (%),Wind Spd (mph),Wind Dir (degrees)
07/01/2018 00:00 EDT,82,65,0,56,0,0
06/30/2018 23:00 EDT,83,65,0,55,0,0
06/30/2018 22:00 EDT,85,63,0,48,4.6,210
06/30/2018 21:00 EDT,87,63,0,45,8.1,220
06/30/2018 20:00 EDT,89,64,0,44,5.8,-1
06/30/2018 19:00 EDT,90,63,0,41,3.5,-1
06/30/2018 18:00 EDT,91,60,0,36,3.5,-1
06/30/2018 17:00 EDT,90,63,0,41,4.6,290
06/30/2018 16:00 EDT,90,62,0,40,0,0
06/30/2018 15:00 EDT,90,61,0,38,0,0
06/30/2018 14:00 EDT,90,61,0,38,4.6,-1
06/30/2018 13:00 EDT,90,62,0,40,3.5,-1
06/30/2018 12:00 EDT,88,64,0,45,0,0
06/30/2018 11:00 EDT,86,60,0,42,0,0
06/30/2018 10:00 EDT,83,60,0,46,0,0
06/30/2018 09:00 EDT,79,60,0,52,0,0
06/30/2018 08:00 EDT,76,59,0,56,3.5,-1
06/30/2018 07:00 EDT,74,59,0,60,0,0
06/30/2018 06:00 EDT,73,58,0,59,0,0
06/30/2018 05:00 EDT,74,56,0,53,0,0
06/30/2018 04:00 EDT,76,56,0,50,0,0
06/30/2018 03:00 EDT,78,55,0,45,3.5,300
06/30/2018 02:00 EDT,79,55,0,44,3.5,-1
06/30/2018 01:00 EDT,79,57,0,47,0,0
06/30/2018 00:00 EDT,81,58,0,46,0,0
06/29/2018 23:00 EDT,82,58,0,44,0,0
06/29/2018 22:00 EDT,82,58,0,44,3.5,-1
06/29/2018 21:00 EDT,84,57,0,40,0,0
06/29/2018 20:00 EDT,86,58,0,39,0,0
06/29/2018 19:00 EDT,86,60,0,42,4.6,-1
06/29/2018 18:00 EDT,87,59,0,39,5.8,-1
06/29/2018 17:00 EDT,88,59,0,38,6.9,-1
06/29/2018 16:00 EDT,88,58,0,36,3.5,-1
06/29/2018 15:00 EDT,87,61,0,42,6.9,-1
06/29/2018 14:00 EDT,87,58,0,37,8.1,290
06/29/2018 13:00 EDT,86,63,0,46,10.4,330
06/29/2018 12:00 EDT,85,66,0,53,11.5,320
06/29/2018 11:00 EDT,82,66,0,58,0,0
06/29/2018 10:00 EDT,79,66,0,65,3.5,-1
06/29/2018 09:00 EDT,76,65,0,69,4.6,290
06/29/2018 08:00 EDT,74,65,0,74,3.5,-1
06/29/2018 07:00 EDT,72,65,0,79,3.5,-1
06/29/2018 06:00 EDT,72,65,0,79,3.5,-1
06/29/2018 05:00 EDT,71,65,0,81,0,0
06/29/2018 04:00 EDT,72,66,0,82,0,0
06/29/2018 03:00 EDT,72,67,0,84,0,0
06/29/2018 02:00 EDT,74,67,0,79,0,0
06/29/2018 01:00 EDT,75,68,0,79,0,0
06/29/2018 00:00 EDT,74,70,0,87,3.5,280
06/28/2018 23:00 EDT,75,71,0,88,5.8,280
06/28/2018 22:00 EDT,74,72,0,94,0,0
06/28/2018 21:00 EDT,74,72,0,94,3.5,280
06/28/2018 20:00 EDT,74,72,0,94,3.5,180
06/28/2018 19:00 EDT,74,73,0.33,97,3.5,-1
06/28/2018 18:00 EDT,75,73,0.58,94,4.6,-1
06/28/2018 17:00 EDT,74,71,0.02,91,6.9,-1
06/28/2018 16:00 EDT,81,71,0,72,4.6,-1
06/28/2018 15:00 EDT,80,72,0,76,5.8,-1
06/28/2018 14:00 EDT,82,70,0,67,0,0
06/28/2018 13:00 EDT,82,72,0,72,0,0
06/28/2018 12:00 EDT,78,71,0,79,0,0
06/28/2018 11:00 EDT,75,71,0,88,4.6,-1
06/28/2018 10:00 EDT,73,72,0,96,0,0
06/28/2018 09:00 EDT,72,71,0.13,97,4.6,260
06/28/2018 08:00 EDT,71,70,0.13,96,4.6,-1
06/28/2018 07:00 EDT,70,69,0.09,97,3.5,-1
06/28/2018 06:00 EDT,70,69,0.01,97,4.6,-1
06/28/2018 05:00 EDT,70,69,0.06,97,5.8,-1
06/28/2018 04:00 EDT,71,68,0,90,0,0
06/28/2018 03:00 EDT,71,68,0.01,90,0,0
06/28/2018 02:00 EDT,71,68,0,90,3.5,-1
06/28/2018 01:00 EDT,70,67,0,90,4.6,-1
06/28/2018 00:00 EDT,69,67,0,93,0,0
06/27/2018 23:00 EDT,69,66,0,90,4.6,-1
06/27/2018 22:00 EDT,69,66,0.01,90,11.5,180
06/27/2018 21:00 EDT,70,64,0,81,15,170
06/27/2018 20:00 EDT,70,63,0,78,6.9,-1
06/27/2018 19:00 EDT,71,61,0,71,5.8,-1
06/27/2018 18:00 EDT,71,60,0,68,4.6,-1
06/27/2018 17:00 EDT,71,59,0,66,4.6,200
06/27/2018 16:00 EDT,72,58,0,61,3.5,-1
06/27/2018 15:00 EDT,71,55,0,57,19.6,180
06/27/2018 14:00 EDT,72,61,0,68,15,180
06/27/2018 13:00 EDT,71,64,0,79,18.4,180
06/27/2018 12:00 EDT,72,63,0,73,5.8,-1
06/27/2018 11:00 EDT,70,62,0,76,4.7,190
06/27/2018 10:00 EDT,71,61,0,71,3.5,-1
06/27/2018 09:00 EDT,70,59,0,68,5.8,-1
06/27/2018 08:00 EDT,68,57,0,68,3.5,-1
06/27/2018 07:00 EDT,67,58,0,73,3.5,-1
06/27/2018 06:00 EDT,67,56,0,68,0,0
06/27/2018 05:00 EDT,67,57,0,71,0,0
06/27/2018 04:00 EDT,66,56,0,70,3.5,240
06/27/2018 03:00 EDT,66,57,0,73,3.5,-1
06/27/2018 02:00 EDT,67,57,0,71,0,0
06/27/2018 01:00 EDT,68,58,0,70,3.5,-1
06/27/2018 00:00 EDT,68,58,0,70,0,0
06/26/2018 23:00 EDT,69,59,0,70,3.5,-1
06/26/2018 22:00 EDT,69,61,0,75,3.5,-1
06/26/2018 21:00 EDT,70,59,0,68,4.6,-1
06/26/2018 20:00 EDT,71,59,0,66,3.5,-1
06/26/2018 19:00 EDT,72,59,0,64,0,0
06/26/2018 18:00 EDT,73,58,0,59,2.3,180
06/26/2018 17:00 EDT,73,56,0,55,4.6,-1
06/26/2018 16:00 EDT,75,56,0,52,5.8,170
06/26/2018 15:00 EDT,76,53,0,45,4.6,-1
06/26/2018 14:00 EDT,77,51,0,40,2.3,150
06/26/2018 13:00 EDT,76,54,0,47,0,0
06/26/2018 12:00 EDT,73,55,0,53,0,0
06/26/2018 11:00 EDT,73,55,0,53,6.9,-1
06/26/2018 10:00 EDT,71,53,0,53,5.8,110
06/26/2018 09:00 EDT,67,54,0,63,5.8,90
06/26/2018 08:00 EDT,66,57,0,73,6.9,90
06/26/2018 07:00 EDT,65,54,0,68,6.9,-1
06/26/2018 06:00 EDT,61,54,0,78,5.8,-1
06/26/2018 05:00 EDT,63,52,0,67,4.6,50
06/26/2018 04:00 EDT,65,51,0,61,3.5,-1
06/26/2018 03:00 EDT,65,48,0,54,4.6,70
06/26/2018 02:00 EDT,68,47,0,47,0,0
06/26/2018 01:00 EDT,70,46,0,42,0,0
06/26/2018 00:00 EDT,70,46,0,42,3.5,30
06/25/2018 23:00 EDT,73,44,0,35,3.5,40
06/25/2018 22:00 EDT,74,44,0,34,5.8,-1
06/25/2018 21:00 EDT,76,44,0,32,5.8,10
06/25/2018 20:00 EDT,77,45,0,32,4.6,40
06/25/2018 19:00 EDT,78,46,0,32,4.6,-1
06/25/2018 18:00 EDT,79,48,0,34,3.5,-1
06/25/2018 17:00 EDT,79,47,0,32,4.6,-1
06/25/2018 16:00 EDT,79,51,0,38,3.5,-1
06/25/2018 15:00 EDT,79,52,0,39,3.5,40
06/25/2018 14:00 EDT,79,54,0,42,4.6,-1
06/25/2018 13:00 EDT,79,55,0,44,6.9,-1
06/25/2018 12:00 EDT,75,56,0,52,3.5,-1
06/25/2018 11:00 EDT,76,57,0,52,9.2,340
06/25/2018 10:00 EDT,73,58,0,59,5.8,330
06/25/2018 09:00 EDT,72,58,0,61,6.9,-1
06/25/2018 08:00 EDT,69,58,0,68,5.8,-1
06/25/2018 07:00 EDT,68,61,0,78,4.6,-1
06/25/2018 06:00 EDT,67,60,0,79,4.6,-1
06/25/2018 05:00 EDT,68,60,0,76,5.8,360
06/25/2018 04:00 EDT,70,63,0,78,8.1,40
06/25/2018 03:00 EDT,70,64,0,81,5.8,-1
06/25/2018 02:00 EDT,71,64,0,79,6.9,290
